Epoch	Loss	Val_Loss	MAE	Val_MAE
1	0.5630	28.9496	0.3135	4.5504
2	0.6565	29.4104	0.2770	4.6028
3	0.7000	29.2272	0.3136	4.5871
4	0.7116	29.5649	0.3168	4.6231
5	0.7956	28.9060	0.3212	4.5479
6	0.8744	29.1462	0.3388	4.5810
7	0.7960	28.7698	0.3093	4.5366
8	0.8449	29.3631	0.3432	4.6044
9	0.8702	29.0247	0.3521	4.5587
10	0.8988	28.7236	0.3774	4.5302
11	0.6487	29.6558	0.3419	4.6393
12	0.5950	29.2753	0.3086	4.6061
13	0.3784	28.9853	0.2633	4.5623
14	0.5022	29.0982	0.2917	4.5819
15	0.4770	28.7861	0.2847	4.5462
16	0.2745	28.7901	0.2393	4.5416
17	0.3829	29.0193	0.2541	4.5675
18	0.9163	29.0193	0.3414	4.5657
19	0.3377	29.3140	0.2536	4.6023
20	0.3927	29.2211	0.2643	4.5949
